Phone number,First name,Last name,First line of address,Postcode,Spent to Date
7764671524,Pammy,Anderson,11 Penny Drive,CT3 7TE,£93.50
7734899809,David,Cameron,27 Albert Rd,CT1 9LP,£8.50
7864290793,Kate,Phillips,134 Cardigan Rd,CT4 7YR,£205.50
7049178706,Dolly,Hall,33 Old Street,CT1 8TR,£8.50
7900861945,Kevin,Elliott,64 Berry Rd,CT2 5RR,£66.40
7050551998,Ben,Allen,55 Updown road,CT1 4TO,£570.50
7016805198,Bob,Phillips,3 Alfred Close,CT1 2MN,£270.30
01227731612,ben,wallace,11 snell road,ct6 7ys,
1227731612,Bob,Brown,123 number road,CT4 7TS,
1227731612,Bill,Benny,112nnney rd,CT4 7TS,
